WKT,FID,LSOA21CD,LSOA21NM,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
POINT (-2.42827 53.59527),4564,E01004824,Bolton 005E,371752,411050,-2.42827,53.59527,278462.0832,3469.336381,f0ba4044-eda7-4616-9b67-2e950cd7f1ad
POINT (-2.43519 53.59394),4565,E01004825,Bolton 011B,371293,410905,-2.43519,53.59394,161835.3187,2583.052244,245dd233-8a20-490f-83e5-70e0eb911c15
POINT (-2.43989 53.59288),4566,E01004826,Bolton 011C,370981,410789,-2.43989,53.59288,180535.8295,2284.472567,c2255d79-1829-4e01-ae87-51d0f0b670a8
POINT (-2.45533 53.56716),4567,E01004827,Bolton 021A,369941,407934,-2.45533,53.56716,159740.6017,3054.320745,5d04db65-6fa0-4cd3-b70c-95c7c00ce451
POINT (-2.4533 53.56561),4568,E01004828,Bolton 023A,370074,407761,-2.4533,53.56561,143150.6357,2755.760459,30c4c092-75d9-4eec-adda-df99395ef563
POINT (-2.44831 53.56462),4569,E01004829,Bolton 023B,370404,407649,-2.44831,53.56462,203176.6135,3154.599969,d705a1bc-b7e3-454e-b212-c20171dc8a77
POINT (-2.4547 53.5611),4570,E01004830,Bolton 026A,369978,407260,-2.4547,53.5611,249563.1022,4519.969298,a277efe5-e4d3-4567-af4b-dec8bf4ef610
POINT (-2.46293 53.55921),4571,E01004831,Bolton 026B,369432,407053,-2.46293,53.55921,392984.6111,4603.51353,a97d2bf4-f23f-4b2b-b88f-f79c9ff6c9d3
POINT (-2.45027 53.56023),4572,E01004832,Bolton 023C,370271,407161,-2.45027,53.56023,163645.4574,3141.966395,edcf66a7-69d3-4f38-9e40-d6b8b9824bb7
POINT (-2.45252 53.54312),4573,E01004833,Bolton 026C,370110,405258,-2.45252,53.54312,5511488.44,12076.49779,940f7b17-f646-48fd-9651-2ea52b2307ab
POINT (-2.45915 53.56786),4574,E01004834,Bolton 018A,369688,408013,-2.45915,53.56786,131177.8373,1749.306974,5f6103e4-92d9-40a3-9d5e-73a4cd76f067
POINT (-2.47794 53.56572),4575,E01004835,Bolton 020A,368442,407784,-2.47794,53.56572,408319.37,4084.571794,3c377cb6-5ee6-462e-97f9-29d4841aadbf
POINT (-2.47146 53.56792),4576,E01004836,Bolton 020B,368873,408026,-2.47146,53.56792,601077.1573,4225.148104,b1ee3088-f062-4543-ac12-c8764f5d3b15
POINT (-2.47928 53.57739),4577,E01004837,Bolton 020C,368362,409083,-2.47928,53.57739,1271018.445,10009.43481,a1912b34-9515-4840-9b3e-2b013cee0e1b
POINT (-2.45998 53.57273),4578,E01004838,Bolton 018B,369637,408556,-2.45998,53.57273,806944.3404,5458.092594,8eab591c-c39d-4b46-ac1d-41b32ff4e520
POINT (-2.46396 53.56378),4579,E01004839,Bolton 026D,369367,407562,-2.46396,53.56378,353250.7615,3631.279506,bf80fd95-b447-4baf-9f51-3044bb624554
POINT (-2.48518 53.59258),4580,E01004840,Bolton 012A,367983,410775,-2.48518,53.59258,4181100.734,13302.3721,59b10d11-d24c-40d7-9ae7-71c2ce71ab91
POINT (-2.47324 53.59434),4581,E01004841,Bolton 012B,368775,410966,-2.47324,53.59434,399244.2407,3630.541586,46c879bd-cea3-4f67-8cd9-f90abcc5abf8
POINT (-2.47355 53.58569),4582,E01004842,Bolton 012C,368748,410004,-2.47355,53.58569,332085.5559,3920.847009,6fba6357-3311-4740-9be9-2883c8d9dc32
POINT (-2.46589 53.58424),4583,E01004843,Bolton 018C,369254,409839,-2.46589,53.58424,348954.4249,6197.440267,6b01a40a-c3f0-4daa-86e9-f7519250c40b
POINT (-2.49402 53.57816),4584,E01004844,Bolton 020D,367387,409175,-2.49402,53.57816,876487.4604,4370.702212,48a2c62b-f4f2-4ca5-ab08-988c76cad164
POINT (-2.46326 53.57916),4585,E01004845,Bolton 018D,369424,409272,-2.46326,53.57916,508976.7922,5693.503474,fad05c11-5acb-447a-a459-3930e824f03d
POINT (-2.43217 53.56138),4586,E01004846,Bolton 025A,371471,407281,-2.43217,53.56138,121377.5321,2474.980988,828463ad-5a2b-4cf7-a2b1-fc2166ec60d8
POINT (-2.437 53.56266),4587,E01004847,Bolton 025B,371152,407426,-2.437,53.56266,239619.5062,4187.149863,4d7141fa-1599-4981-9bca-03eec84f21cd
POINT (-2.4302 53.57163),4588,E01004848,Bolton 016D,371608,408421,-2.4302,53.57163,872189.8664,6479.558783,c4478a44-529b-4e8d-96e2-8c61c62a15f6
POINT (-2.44134 53.57357),4589,E01004849,Bolton 021B,370872,408641,-2.44134,53.57357,293945.8297,3136.722669,910f0ba4-e5db-406d-a5c8-7821006e8bfa
POINT (-2.44929 53.57148),4590,E01004850,Bolton 021C,370344,408412,-2.44929,53.57148,188423.3346,2642.627968,caabfef7-af1a-49e4-adae-8c5a834eb93e
POINT (-2.44184 53.56966),4591,E01004851,Bolton 021D,370836,408207,-2.44184,53.56966,215625.2623,3523.692173,c00a7790-3309-41d9-8a9b-630642266714
POINT (-2.43701 53.56696),4592,E01004852,Bolton 025C,371154,407904,-2.43701,53.56696,194591.3167,2903.283941,ec7e18ce-a137-48c7-bd84-3a6e8c746f9b
POINT (-2.44706 53.56805),4593,E01004853,Bolton 021E,370489,408030,-2.44706,53.56805,103972.2185,1925.858626,36503814-595b-4c3d-b801-d7715c558017
POINT (-2.44298 53.56474),4594,E01004854,Bolton 023D,370757,407660,-2.44298,53.56474,135495.6474,2328.190405,e1685658-c18c-4fc5-be51-a347b9ebab7b
POINT (-2.38785 53.554),4595,E01004855,Bolton 027B,374402,406444,-2.38785,53.554,796097.1541,5769.835931,67af03eb-d095-4dcf-aaa2-b3fc2908949f
POINT (-2.41026 53.5535),4596,E01004856,Bolton 027C,372917,406396,-2.41026,53.5535,397525.1396,3137.894224,8a080dce-7ce1-47fe-a338-b0e9b4915bc8
POINT (-2.40031 53.55343),4597,E01004857,Bolton 027D,373576,406385,-2.40031,53.55343,377853.6386,3027.212521,64b09a87-abf4-43d9-8af7-c48643a891fa
POINT (-2.40791 53.54971),4598,E01004858,Bolton 032A,373070,405974,-2.40791,53.54971,320060.2247,3367.922041,95ddbb25-be3c-40c4-b917-aeea7b044979
